CLUSTER,X,Y,N_SOURCE,N_SINK,N_SADDLE,CLUSTER_SIZE,MEDROBUSTNESS
0,-148.607142857,87.9642857143,5,0,8,14,3.55017865714
1,-83.0,86.0,2,0,4,6,0.114240883333
2,-124.815789474,36.5526315789,1,0,18,19,11.0358562379
3,-125.933333333,27.8333333333,13,2,0,15,13.9247470667
4,-89.6666666667,21.6666666667,0,0,15,15,4.81387639333
5,-93.8,14.4,0,14,1,15,4.81387639333
6,-70.4333333333,-2.36666666667,2,0,13,15,2.58844407333
7,-77.1,-3.0,5,1,9,15,3.54496858
8,-84.3333333333,-8.06666666667,0,0,15,15,3.37134737333
9,-59.55,-5.85,6,1,3,10,1.601725774
