ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT
0,merge,163,-5,35.220,
1,merge,163,-2,5.708,0
2,merge,163,-1,2.607,1
3,sink,163,1,0.000,2
4,merge,397,-2,0.973,2
5,saddle,397,-1,0.000,4
6,saddle,401,-1,0.000,4
7,saddle,266,-1,0.000,1
8,merge,4783,-3,31.219,0
9,merge,4783,0,20.839,8
10,saddle,4783,-1,0.000,9
11,source,5593,1,0.000,9
12,merge,5947,-3,18.889,8
13,merge,5947,0,5.530,12
14,saddle,5947,-1,0.000,13
15,sink,6757,1,0.000,13
16,merge,8335,-3,5.722,12
17,saddle,8335,-1,0.000,16
18,merge,8344,-2,3.520,16
19,saddle,8344,-1,0.000,18
20,saddle,8888,-1,0.000,18
