ID,TYPE,SIMPLEX,DEGREE,VALUE,PARENT,ROBUSTNESS
0,merge,257,-3,39.577,,0.6854453
1,merge,257,0,0.685,0,0.6854453
2,saddle,257,-1,0.000,1,0.6854453
3,source,267,1,0.000,1,0.6854453
4,merge,4785,-3,32.806,0,11.535225
5,merge,4785,0,11.535,4,11.535225
6,saddle,4785,-1,0.000,5,11.535225
7,source,5592,1,0.000,5,11.535225
8,merge,6081,-3,19.228,4,4.7700047
9,merge,6081,0,4.770,8,4.7700047
10,saddle,6081,-1,0.000,9,4.7700047
11,sink,6757,1,0.000,9,4.7700047
12,merge,8334,-3,4.866,8,3.4028235E38
13,saddle,8334,-1,0.000,12,3.4028235E38
14,merge,8344,-2,1.777,12,3.4028235E38
15,saddle,8344,-1,0.000,14,3.4028235E38
16,saddle,8618,-1,0.000,14,3.4028235E38
