U,V
5.896183,-3.832147
5.996182,-3.632147
6.096182,-3.432147
6.196182,-3.332147
6.296182,-3.132147
6.396183,-3.032147
6.396183,-2.832147
6.496182,-2.632147
6.596182,-2.432147
6.596182,-2.332147
6.696182,-2.132147
6.696182,-1.932147
6.796182,-1.732147
6.796182,-1.632147
6.896183,-1.432147
6.896183,-1.232147
6.896183,-1.032147
6.996182,-0.8321472
6.996182,-0.7321472
6.996182,-0.5321472
6.996182,-0.3321472
6.996182,-0.1321472
6.996182,6.79E-02
6.996182,0.2678528
6.996182,0.3678528
6.996182,0.5678528
6.996182,0.7678528
6.996182,0.9678528
6.896183,1.167853
6.896183,1.367853
6.896183,1.467853
6.796182,1.667853
6.796182,1.867853
6.696182,2.067853
6.696182,2.167853
6.596182,2.367853
6.496182,2.567853
6.496182,2.767853
6.396183,2.867853
6.296182,3.067853
6.196182,3.267853
6.096182,3.367853
6.096182,3.567853
5.996182,3.667853
5.896183,3.867853
5.796182,3.967853
5.696182,4.167853
5.496182,4.267853
5.396183,4.467853
5.296182,4.567853
5.196182,4.767853
5.096182,4.867853
4.896183,4.967853
4.796182,5.167853
4.696182,5.267853
4.496182,5.367853
4.396183,5.467853
4.196182,5.567853
4.096182,5.667853
3.896182,5.767853
3.796182,5.867853
3.596182,5.967853
3.496182,6.067853
3.296182,6.167853
3.196182,6.267853
2.996182,6.367853
2.796182,6.467853
2.596182,6.467853
3.796182,-1.432147
3.696182,-1.332147
3.696182,-1.232147
3.696182,-1.132147
3.696182,-1.032147
3.696182,-0.8321472
3.596182,-0.7321472
3.596182,-0.6321473
3.696182,-0.5321472
3.596182,-0.4321472
3.596182,-0.3321472
3.596182,-0.2321472
3.596182,-0.1321472
3.596182,-3.21E-02
3.596182,6.79E-02
3.496182,0.1678528
3.496182,0.2678528
3.496182,0.3678528
3.496182,0.4678528
3.496182,0.5678528
3.496182,0.6678528
3.496182,0.7678528
3.496182,0.7678528
3.496182,0.8678528
3.396182,0.9678528
3.396182,1.067853
3.396182,1.167853
3.396182,1.167853
3.396182,1.367853
3.396182,1.367853
3.396182,1.467853
3.396182,1.567853
3.396182,1.667853
3.396182,1.767853
3.396182,1.867853
3.396182,1.867853
3.296182,2.067853
3.396182,2.167853
3.396182,2.167853
3.296182,2.267853
3.296182,2.467853
3.296182,2.467853
3.296182,2.567853
3.296182,2.667853
3.296182,2.867853
3.296182,2.867853
3.196182,3.067853
3.196182,3.067853
3.196182,3.267853
3.196182,3.367853
3.096182,3.467853
3.096182,3.567853
3.096182,3.667853
2.996182,3.767853
2.996182,3.867853
2.896182,3.967853
2.896182,4.067853
2.796182,4.167853
2.796182,4.267853
2.696182,4.367853
2.596182,4.467853
2.596182,4.567853
2.496182,4.667853
2.396182,4.767853
2.396182,4.867853
2.296182,4.867853
2.196182,4.967853
2.096182,5.067853
-2.403818,0.8678528
-2.503818,0.8678528
-2.603818,0.8678528
-2.803818,0.8678528
-2.803818,0.8678528
-2.903818,0.8678528
-3.003818,0.8678528
-3.103818,0.8678528
-3.103818,0.8678528
-3.203818,0.8678528
-3.303818,0.8678528
-3.303818,0.8678528
-3.303818,0.7678528
-3.403818,0.7678528
-3.403818,0.7678528
-3.403818,0.6678528
-3.403818,0.6678528
-3.403818,0.6678528
-3.403818,0.5678528
-3.403818,0.5678528
-3.303818,0.5678528
-3.303818,0.4678528
-3.203818,0.4678528
-3.203818,0.3678528
-3.103818,0.3678528
-3.103818,0.2678528
-3.003818,0.2678528
-2.903818,0.2678528
-2.803818,0.1678528
-2.803818,0.1678528
-2.603818,0.1678528
-2.503818,0.1678528
-2.403818,6.79E-02
-2.303818,6.79E-02
-2.203818,6.79E-02
