X,Y
-49.5,90
-51,90
-52.5,90
-54,90
-55.5,90
-57,90
-58.5,90
-60,90
-61.5,90
-63,90
-64.5,90
-66,90
-67.5,90
-69,90
-70.5,90
-72,90
-73.5,90
-75,90
-76.5,90
-78,90
-79.5,90
-81,90
-82.5,90
-84,90
-85.5,90
-87,90
-88.5,90
-90,90
-91.5,90
-93,90
-94.5,90
-96,90
-97.5,90
-99,90
-100.5,90
-102,90
-103.5,90
-105,90
-106.5,90
-108,90
-109.5,90
-111,90
-112.5,90
-114,90
-115.5,90
-117,90
-118.5,90
-120,90
-121.5,90
-123,90
-124.5,90
-126,90
-127.5,90
-129,90
-130.5,90
-132,90
-133.5,90
-135,90
-136.5,90
-138,90
-139.5,90
-141,90
-142.5,90
-144,90
-145.5,90
-147,90
-148.5,90
-150,90
-49.5,88.5
-51,88.5
-52.5,88.5
-54,88.5
-55.5,88.5
-57,88.5
-58.5,88.5
-60,88.5
-61.5,88.5
-63,88.5
-64.5,88.5
-66,88.5
-67.5,88.5
-69,88.5
-70.5,88.5
-72,88.5
-73.5,88.5
-75,88.5
-76.5,88.5
-78,88.5
-79.5,88.5
-81,88.5
-82.5,88.5
-84,88.5
-85.5,88.5
-87,88.5
-88.5,88.5
-90,88.5
-91.5,88.5
-93,88.5
-94.5,88.5
-96,88.5
-97.5,88.5
-99,88.5
-100.5,88.5
-102,88.5
-103.5,88.5
-105,88.5
-106.5,88.5
-108,88.5
-109.5,88.5
-111,88.5
-112.5,88.5
-114,88.5
-115.5,88.5
-117,88.5
-118.5,88.5
-120,88.5
-121.5,88.5
-123,88.5
-124.5,88.5
-126,88.5
-127.5,88.5
-129,88.5
-130.5,88.5
-132,88.5
-133.5,88.5
-135,88.5
-136.5,88.5
-138,88.5
-139.5,88.5
-141,88.5
-142.5,88.5
-144,88.5
-145.5,88.5
-147,88.5
-148.5,88.5
-150,88.5
-49.5,87
-51,87
-52.5,87
-54,87
-55.5,87
-57,87
-58.5,87
-60,87
-61.5,87
-63,87
-64.5,87
-66,87
