V,U
-1.293079,-4.95
-0.7130786,-5.54
0.006921386,-5.62
0.3669214,-5.19
-0.7230786,-4.85
-1.363079,-4.54
-0.7430786,-3.76
-0.3930786,-3.25
-0.3530786,-3.21
-0.9630786,-4.13
-1.203079,-4.45
-0.3930786,-4.76
0.3469214,-5.43
1.146921,-6.09
1.466921,-6.64
1.006921,-6.96
0.4469214,-6.96
-0.1530786,-5.69
-1.323079,-4.6
-2.023079,-4.52
-2.213078,-4
-1.643079,-3.36
-0.2330786,-3.73
1.036921,-4.62
2.516921,-5.89
2.516921,-7.57
1.666921,-8.99
0.9169214,-10.27
0.3669214,-10.78
0.076921389,-11.21
0.1669214,-12.36
0.2469214,-13.75
0.6569214,-13.58
0.5069214,-12.04
0.046921387,-11.5
1.116921,-12.38
2.456921,-13.25
2.386921,-11.72
0.2369214,-9.48
-0.6230786,-8.94
0.9369214,-9.61
1.876921,-11.23
1.656921,-11.23
0.2469214,-10.27
-0.9530786,-9.08
-0.5730786,-9.61
-0.4830786,-8.86
-0.9430786,-8.2
-0.5630786,-5.65
-0.2730786,-6.29
-0.1230786,-6.49
0.1969214,-5.41
-1.033079,-4.85
-1.953079,-4.54
-1.433079,-4.17
-0.4330786,-3.76
-0.5230786,-4.28
-1.163079,-4.53
-1.043079,-4.33
-0.033078611,-4.7
0.9369214,-5.43
1.236921,-5.93
1.116921,-6.19
1.006921,-6.33
0.8669214,-6.65
0.4469214,-6.02
-0.7230786,-4.11
-1.243079,-2.76
-0.6630786,-2.29
0.6069214,-3.31
1.516921,-4.73
2.906921,-6.01
3.616921,-7.32
3.576921,-8.28
3.016921,-9.599999
1.596921,-10.8
0.3569214,-11.62
-0.3330786,-12.26
-0.083078608,-12.51
0.3369214,-13.17
0.8869213,-12.91
0.6169214,-12.48
1.576921,-12.54
2.856921,-12.21
2.456921,-11.61
1.086921,-10.65
-0.1230786,-10.27
0.7269214,-10.09
1.836921,-10.04
1.746921,-11.11
0.8369214,-10.64
-0.033078611,-10.57
-1.003079,-10.78
-0.8430786,-10.21
-1.203079,-8.32
-1.273079,-6.97
0.5469214,-5.41
-0.013078613,-6.21
-0.3630786,-6.73
-0.5530786,-5.35
-2.033079,-4.91
-2.893079,-4.13
-2.043079,-3.72
0.086921386,-3.92
0.4369214,-5.13
-0.8930786,-4.46
-1.133079,-3.96
0.2869214,-4.71
1.046921,-5.84
1.366921,-5.94
1.226921,-5.24
1.286921,-4.83
1.346921,-5.07
0.8369214,-5.33
0.1669214,-4.5
0.4469214,-3.35
1.486921,-3.4
2.586921,-4.59
2.786921,-6.13
3.766921,-7.16
4.096921,-7.65
4.766921,-7.75
4.666921,-9.41
2.816921,-10.26
0.7069214,-10.47
-0.9730786,-9.73
-0.2630786,-10.17
1.026921,-11.84
1.756921,-11.37
3.096921,-11.39
2.976921,-11.16
1.696921,-8.61
2.276921,-7.66
1.936921,-9.87
0.5669214,-11.34
0.8869213,-11.36
0.6469214,-11.62
0.1169214,-11.23
-0.6130786,-10.33
-0.2230786,-9.23
-0.8830786,-8.83
-1.723079,-6.7
-1.003079,-5.03
-2.093079,-6.81
1.176921,-5.67
0.7469214,-5.31
0.076921389,-4.77
-0.5430786,-4.26
-2.403079,-3.8
-3.113079,-2.9
-1.853079,-2.41
-0.2530786,-2.94
-0.6630786,-3.32
-1.053079,-2.29
-0.1430786,-2.86
1.216921,-4.02
1.586921,-5.5
1.246921,-5.55
1.006921,-5.52
1.706921,-4.79
1.726921,-4.76
1.296921,-4.52
0.6969213,-4.04
0.6069214,-3.72
1.156921,-4.13
2.556921,-4.86
4.436921,-5.68
5.616921,-6.56
4.686921,-7.37
3.116921,-6.99
3.086921,-8.48
2.946921,-9.42
1.286921,-8.63
0.5369214,-7.87
1.416921,-8.42
2.846921,-10.1
3.106921,-9.76
4.776921,-9.29
3.376921,-7.9
1.656921,-5.87
1.476921,-5.19
1.146921,-8.22
1.376921,-10.44
1.336921,-10.05
0.006921386,-9.57
-0.2630786,-9.599999
-1.083079,-9.52
-1.223079,-7.44
-1.263079,-6.33
-2.353079,-6.98
-1.813079,-5.84
-2.673079,-4.6
1.586921,-5.19
0.7169214,-4.03
-0.4430786,-2.81
-1.023079,-2.26
-2.263078,-0.89
-2.353079,-0.3
-1.223079,0.02
-0.1130786,-0.61
-0.4030786,-1.1
0.7469214,-2.19
2.416921,-3.76
2.746921,-3.3
2.826921,-4.41
2.176921,-5.19
1.446921,-6.39
1.166921,-5.26
0.8069214,-4.37
0.9569213,-3.6
0.8069214,-3.5
1.176921,-3.45
1.906921,-3.55
3.226921,-4.27
5.356921,-4.67
6.206921,-6.22
5.316921,-7.29
2.126921,-5.69
2.846921,-6.96
3.466921,-7.96
2.366921,-8.42
3.306921,-9.86
4.096921,-8.809999
4.846921,-8.62
3.666921,-8.36
4.506921,-6.82
2.986921,-5.46
1.636921,-5.48
1.106921,-5.73
2.036921,-8.52
2.986921,-9.849999
1.836921,-8.79
0.6669214,-8.67
-0.7230786,-9.09
-2.423079,-7.88
-2.653079,-5.91
-1.873079,-4.1
-2.113079,-4.82
-3.803078,-5.22
-3.473078,-3.28
0.8069214,-3.82
-0.8030786,-2.12
-2.283079,-1.28
-2.593079,1
-1.453079,3.37
0.5369214,2.53
0.3669214,1.69
-0.1330786,2
1.076921,2.14
3.316921,1.59
4.466921,0.48
3.836921,0.35
3.266921,-1.19
2.386921,-3.17
1.396921,-4.59
1.126921,-3.75
1.206921,-2.58
1.026921,-2.06
1.046921,-2.41
1.546921,-2.87
2.066921,-3.17
2.806921,-3.62
4.796921,-3.65
5.336921,-4.72
5.266921,-5.11
3.746921,-5.3
4.366921,-6.39
4.986921,-7.76
4.306921,-8.16
4.226921,-7.56
2.726921,-5.81
2.856921,-6.75
2.506921,-6.77
2.846921,-5.85
2.226921,-6.29
1.146921,-6.18
0.9969214,-5.3
1.026921,-5.04
1.836921,-4.03
1.446921,-4.55
-0.6030786,-5.76
-2.353079,-5.98
-3.703079,-6.84
-4.403079,-6.87
-3.993078,-5.66
-2.673079,-3.91
-3.613079,-3.14
-4.443079,-2.18
-0.9530786,-1.18
-2.253078,-0.079999998
-2.843079,1.47
-1.363079,4.07
-0.6330786,4.45
-0.7830786,1.52
-0.9730786,0.6
0.2369214,2.7
2.296921,1.77
3.806921,1.58
4.086921,2.22
3.616921,2
4.136921,1.91
4.106921,0.31
2.406921,-1.01
1.516921,-0.76
1.076921,0.18
1.576921,-0.059999999
1.846921,-1.69
1.086921,-3.46
2.036921,-3.49
2.826921,-3.27
4.616921,-2.93
4.926921,-3.18
4.906921,-4.25
5.556921,-5.25
5.236921,-5.76
4.416921,-7.22
2.556921,-7.52
2.186921,-6.93
1.186921,-6.44
-0.1030786,-5.75
0.6969213,-5.19
0.7069214,-5.75
1.356921,-5.74
0.7469214,-5.48
-0.4230786,-5.26
-1.633079,-4.82
-1.353079,-2.76
-1.053079,-3.5
-3.183079,-5.08
-2.993078,-3.73
-3.883079,-3.8
-5.243079,-2.96
-3.563079,-2.65
-3.123079,-1.28
-4.373078,0.14
-4.653079,0.88
-2.913079,1.39
-4.103078,1.93
-2.943079,4.54
-0.013078613,4.6
-0.3430786,3.79
-2.513078,2.12
-2.493078,-0.48
1.276921,-0.73
2.966921,-1.29
3.346921,-1.12
3.266921,0.15
2.576921,0.12
2.776921,0.9899999
4.026921,1.2
3.206921,0.86
0.8069214,1.63
-0.1230786,1.9
3.496921,0.46
4.936921,-2.53
1.916921,-4.63
1.016921,-3.57
1.046921,-2.85
3.116921,-2.66
4.226921,-1.85
5.116921,-2.99
5.296921,-3.79
4.656921,-3.62
4.366921,-5.71
2.466921,-7.63
0.9869214,-5.8
1.386921,-5.94
0.8569214,-5.92
1.766921,-5.91
1.076921,-6.06
1.096921,-5.13
-0.063078612,-5.81
-1.293079,-4.67
-0.9330786,-4.29
-1.953079,-2.59
-2.053079,-3.94
-2.853079,-4.46
-3.393079,-2.17
-3.533078,-0.53
-2.863079,0.59
-1.783079,0.44
-3.923079,1.5
-5.033079,2.58
-3.863079,3.3
-5.843079,1.62
-5.793078,2.69
-1.673079,4.14
0.7969214,1.36
0.8169214,0.14
0.6469214,-0.02
0.2769214,-2.18
2.196921,-2.08
1.936921,-0.25
2.446921,-1.48
3.716921,-1.88
4.066921,-1.78
3.366921,-1.46
4.136921,-1.92
3.856921,-3.46
1.066921,-4.04
0.1469214,-4.38
3.996921,-2.09
5.906921,-0.91
3.006921,-2.3
1.126921,-2.91
1.686921,-3.1
3.406921,-3.81
3.356921,-3.72
3.116921,-3.6
4.216921,-4.35
4.886921,-3.38
2.236921,-5.55
1.136921,-8.94
2.576921,-4.7
2.436921,-4.34
2.066921,-5.02
2.096921,-4.7
0.8669214,-5.07
0.3069214,-4.8
-0.5130786,-5.01
-1.603079,-4.18
-1.703079,-3.87
-2.623079,-1.73
-3.123079,-3.79
-4.713078,-3.22
-5.053079,0.14
-2.823079,3.53
-1.883079,3.73
-3.843079,0.77
-5.543078,2.17
-4.983078,5.79
-4.453079,4.21
-7.843079,2.03
-3.933079,2.56
1.706921,1.31
2.136921,-0.55
0.9569213,-0.75
1.666921,-1.04
2.356921,-1.92
2.906921,-2
2.366921,-2.06
3.466921,-3.22
4.866921,-3.21
4.176921,-3.05
3.066921,-2.91
4.776921,-4.91
6.066921,-6.97
4.146921,-7.9
1.186921,-8.099999
1.176921,-4.41
3.226921,-1.81
3.556921,-1.75
2.136921,-1.82
2.136921,-1.57
3.396921,-2.05
3.306921,-3.3
2.446921,-3.71
3.266921,-4.24
5.366921,-3.62
1.716921,-4.52
-0.3730786,-7.22
3.346921,-3.93
3.296921,-4.32
3.316921,-5.03
2.676921,-3.37
1.426921,-3.79
-0.4030786,-4.23
-1.263079,-4.67
-1.323079,-3.43
-2.033079,-3.08
-2.663079,-2.71
-3.783078,-1.3
-5.523078,1.18
-5.633079,3.8
-4.943079,4.86
-6.673079,3.2
-8.693078,3.52
-7.313078,6.13
-3.483078,3.92
-1.973079,1.8
-6.843079,2.69
0.7569214,0.51
4.416921,-1.98
2.966921,-3.32
1.616921,-4.19
2.636921,-3.48
3.546921,-2.86
2.726921,-2.64
2.376921,-2.98
3.126921,-2.9
3.576921,-2.99
2.566921,-2.67
3.186921,-2.6
5.916921,-5.77
7.616921,-6.21
6.266921,-5.78
2.626921,-6.37
0.5269214,-5.02
0.8469214,-3.82
1.696921,-3.17
1.336921,-2.65
1.416921,-2.1
2.886921,-1.78
3.076921,-2.21
2.686921,-3.12
3.436921,-3.63
4.966921,-2.88
2.076921,-4.48
0.7969214,-6.95
3.516921,-3.52
2.816921,-2.65
2.346921,-4.43
0.7369214,-2.39
0.7869214,-1.43
-0.7930786,-2.27
-1.013079,-3.48
-1.153079,-2.81
-3.223078,-2.32
-4.543078,-1.14
-5.263079,3.08
-5.313078,5.04
-6.133079,3.98
-7.493078,3.55
-10.53308,7.6
-9.183079,10.22
-3.963078,2.6
-0.8330786,0.92
0.036921386,2.53
-1.603079,1.2
3.666921,-1.46
3.456921,-2.75
2.446921,-3.73
2.026921,-4.26
2.426921,-2.72
2.286921,-2.02
1.596921,-1.66
1.826921,-1.6
1.786921,-1.69
1.806921,-1.8
2.516921,-1.56
3.876921,-2.39
5.386921,-3.81
6.826921,-1.98
5.516921,-2.3
2.196921,-5.37
0.2169214,-5.47
0.016921386,-4.16
-0.2130786,-4.23
0.2669214,-4.89
0.9569213,-4.37
1.356921,-3.24
2.006921,-1.66
2.736921,-1.1
3.066921,-1.3
2.926921,0.12
1.166921,-1.45
1.406921,-4.66
3.376921,-2.79
1.746921,-1.34
-0.2830786,-3.02
0.026921386,-2.35
1.736921,-0.63
-0.6730786,-0.57
-1.003079,-0.69
-2.213078,-0.02
-4.493079,1.59
-5.973078,3.87
-6.823079,5.83
-7.983078,5.14
-9.463078,5.15
-11.21308,9.08
-9.163078,9.57
-1.793079,4.06
0.4869214,1.91
0.9869214,2.86
1.176921,0.97
2.876921,-0.6
3.226921,0.45
2.086921,0.53
1.736921,-0.77
1.106921,-1.28
1.776921,-0.28
1.846921,0.64
1.366921,0.66
1.176921,-0.2
1.246921,-0.57
2.246921,-0.039999999
2.736921,-0.47
1.306921,-1.62
3.016921,-1.26
6.966921,0.71
6.326921,1.53
2.696921,-1.05
-0.3630786,-1.92
0.2669214,-1.64
0.1869214,-2.21
0.2169214,-2.39
0.5769214,-2.44
-0.3130786,-1.9
0.7669213,-1
1.616921,-0.6
1.906921,-0.11
1.986921,2.89
0.1169214,2.34
-0.1730786,-0.26
1.266921,-0.36
1.406921,0.42
-0.4330786,-0.75
0.4769214,-0.56
0.1769214,1.38
-1.993079,3.28
-1.943079,3.82
-3.763078,5.19
-5.243079,6.75
-7.153079,7.27
-8.743078,6.95
-10.82308,6.37
-11.57308,7.97
-10.51308,7.47
-2.233078,1.66
-1.413079,2.29
0.5569214,6.38
-0.1030786,5.41
-0.7330786,-1.48
0.6369213,1.83
0.8669214,2.42
2.046921,1.47
1.986921,1.14
1.906921,1.32
2.146921,1.71
1.786921,1.04
1.516921,0.8
1.136921,1.34
0.006921386,1.3
-0.5830786,1.01
-0.5630786,0.39
-1.123079,0.13
1.686921,0.59
5.406921,0.8
6.096921,1.69
4.976921,0.51
1.516921,-0.53
0.6369213,-1.23
0.076921389,-1.15
0.3669214,0.059999999
0.9869214,0
-0.3030786,0.4
0.2269214,0.28
0.8569214,0.92
1.766921,2.22
1.236921,3.8
-0.3430786,3.8
1.606921,3.59
1.896921,3.99
1.096921,3.81
0.6269214,2.21
-0.4330786,1.54
-2.803079,4.19
-4.433078,5.84
-3.463078,8.8
-3.693079,10.31
-4.823079,10.06
-5.513079,9.61
-6.413078,9.03
-8.133079,7.11
-6.993078,4.36
-3.013078,-0.72
-0.8130786,-0.079999998
-0.4730786,3.31
1.676921,6.29
-0.07307861,1.72
-1.233079,-1.5
-1.593079,4.6
1.556921,4.97
3.376921,6.02
3.246921,8.26
3.456921,9.469999
3.196921,8.62
3.106921,5.89
1.526921,5.6
-0.1930786,6.29
-0.063078612,5.65
0.5269214,4.6
0.8169214,3.11
0.7769214,0.58
1.656921,-1.08
2.826921,-1.39
4.246921,-0.32
5.756921,1.08
4.066921,0.58
2.496921,-1.72
0.7669213,-1.58
0.5069214,0.43
0.9569213,1.69
-0.5730786,2.58
-0.8930786,2
-0.2630786,2.82
1.746921,3.83
1.426921,4.38
-0.1230786,5.54
1.516921,7.06
1.876921,7.68
1.886921,5.7
1.646921,3.2
-1.853079,4.1
-4.063078,7.11
-4.903079,8.389999
-3.863079,9.48
-4.853078,8.11
-5.853078,7.1
-5.883079,6.74
-5.463078,5.9
-4.673079,3.43
-2.073079,0.7
-2.213078,-2.46
-0.023078613,-0.27
-1.973079,6.71
-1.063079,7.02
-1.623079,0.86
-1.233079,0.64
-2.413079,6.7
-1.073079,7.06
0.5969214,6.83
1.626921,6.54
1.906921,5.73
2.686921,5.54
4.086921,6.28
2.576921,7.01
0.3469214,5.21
0.6469214,3.48
1.376921,2.87
1.316921,2.07
1.196921,-0.14
2.006921,-2
2.486921,-1.85
2.236921,-1.86
3.756921,-0.3
4.646921,1.4
4.066921,0.61
0.7969214,1.15
-1.173079,2.64
-0.7930786,3.78
-1.273079,4.3
-1.493079,4.36
-1.023079,5.42
0.2569214,5.18
0.3969214,5.36
1.086921,6.04
2.686921,5.38
1.456921,4.65
-0.5230786,5.1
-1.773079,5.67
-1.343079,6.31
-1.953079,7.19
-3.283078,6.7
-4.083078,5.09
-5.253078,4.52
-5.703078,5.01
-5.453078,5.71
-2.373079,5.19
-1.143079,4.06
-1.983079,2.25
-3.293078,-1.12
-1.253079,-0.079999998
-1.863079,6.02
-1.093079,4.17
-2.193079,-0.63
-1.933079,1.05
-1.883079,6.04
-1.053079,3.39
0.5469214,1.21
0.6169214,1.05
0.3569214,1.07
0.9169214,1.82
1.096921,3.36
0.2169214,4.68
-0.1230786,4.11
0.8969214,3.05
1.986921,2.48
2.936921,1.73
2.806921,0.67
2.246921,-0.43
2.026921,-0.01
1.296921,0.15
1.116921,0.73
2.206921,2.65
2.826921,3.13
-0.1930786,4.1
-1.713079,4.98
-1.643079,4.96
-1.503079,4.98
-1.333079,4.43
-1.443079,4.64
-0.9030786,5.15
-1.223079,5.28
-0.2630786,5.56
0.6169214,7.62
-0.5630786,8.889999
-1.243079,8.96
-2.133079,7.65
-3.163079,6.57
-2.493078,7.67
-3.253078,6.95
-3.353079,4.81
-2.663079,6.15
-3.083079,5.66
-0.4030786,2.46
1.866921,0.059999999
0.2069214,0.95
-2.613079,1.85
-2.613079,0.37
-1.113079,-0.49
-0.9530786,4.04
-1.123079,2.62
-2.483078,-2.88
-1.303079,0.28
0.8969214,4.42
0.4669214,4.05
-0.093078613,4.68
-0.3130786,4.83
0.5169214,4.3
1.816921,3.88
2.136921,3.59
1.126921,4.1
1.046921,3.61
2.406921,1.99
3.626921,2.52
4.626921,3.23
4.296921,2.62
3.126921,1.64
1.786921,1.41
0.6169214,1.28
-1.183079,0.29
-0.6830786,1.46
0.3669214,3.58
-3.393079,5.09
-3.673079,5.26
-2.963078,4.7
-2.573079,6
-1.403079,6.95
-1.903079,7.17
-1.603079,7.28
-2.393079,6.59
-2.833079,6.87
-1.773079,9.059999
-2.163079,10.39
-2.483078,9.679999
-2.153079,8.09
-2.343079,6.02
-1.983079,5.71
-2.833079,3.98
-3.683079,2.32
-3.023078,1.15
-0.7630786,-1.5
1.396921,-3.4
0.5469214,-3.3
-0.013078613,-2.95
-1.073079,-2.05
-1.823079,-1.68
-1.153079,-1.63
-2.423079,2.37
-2.923079,4.41
-2.673079,-1.65
-2.753078,-1.21
0.6569214,7.59
-0.1030786,7.16
-0.05307861,5.97
1.386921,4.57
2.696921,3.61
2.586921,3.41
2.146921,3.14
2.046921,2.35
2.626921,1.22
2.686921,0.29
3.056921,1.21
3.546921,2.4
2.496921,2.46
2.966921,2.64
2.696921,3.14
0.3569214,3
-3.203079,1.47
-3.753078,1.76
-1.523079,3.46
-4.663078,3.81
-4.753078,4.34
-2.553079,5.59
-2.763078,6.97
-1.953079,6.97
-1.353079,6.85
-1.823079,7.74
-3.633079,8.559999
-3.983078,9.94
-1.893079,10.37
-1.003079,9.61
-0.7530786,8.51
0.6969213,8.46
0.2969214,6.22
-0.9830786,3.48
-1.953079,1.46
-2.063079,0.66
-0.1730786,-0.29
1.966921,-1.18
1.756921,-1.66
1.546921,-2.05
2.756921,-2.93
1.356921,-4.1
0.1369214,-4.53
-1.023079,-3.77
-2.063079,0.36
-3.913079,4.44
-3.963078,1.66
-3.243078,-0.84
0.1369214,7.27
0.3469214,6.45
-0.1130786,5.36
0.7769214,4.79
1.506921,4.29
0.7269214,4.05
0.5069214,3.63
1.746921,3.35
2.786921,3.75
1.786921,4.12
1.706921,4.48
3.126921,5.03
2.216921,4.66
2.066921,3.75
2.496921,3.48
1.316921,3.89
-1.823079,3.36
-4.553079,2.09
-2.173079,2.07
-3.043079,2.74
-6.053079,3.87
-4.273078,4.74
-2.603079,6.07
-2.693079,6.96
-2.303079,6.58
-3.253078,7.62
-4.553079,8.32
-2.953079,7.02
-1.313079,5.3
-0.9930786,5.78
-0.5330786,6.18
0.1169214,6.76
0.7669213,6.38
-0.4030786,4.33
-1.783079,4.92
-0.4130786,5.18
1.566921,4.9
2.186921,4.27
2.076921,3.32
3.536921,1.79
4.826921,-0.34
4.796921,-3.21
1.456921,-4.93
-3.763078,-4.37
-1.533079,-3.44
-1.013079,2.19
-3.553079,5.2
-3.243078,1.45
1.776921,5.68
1.086921,6.41
0.7369214,6.47
2.846921,4.72
3.126921,3.79
1.466921,4.66
0.8169214,4.61
1.456921,4.97
2.406921,5.58
2.386921,5.54
1.316921,5.15
1.486921,4.38
1.876921,3.3
1.416921,2.35
1.076921,2.11
1.316921,2.91
0.6369213,3.72
-3.903079,2.65
-4.793078,0.65
-2.673079,0.88
-5.943079,4.13
-7.273078,5.57
-3.063079,5.62
-1.803079,6.18
-3.153079,5.87
-3.563079,6.31
-3.903079,6.27
-1.433079,6.92
0.5069214,7.81
-1.553079,8.36
-1.983079,9.23
0.8469214,9.92
2.396921,10.06
0.3469214,9.8
-1.563079,10.92
-0.6230786,11.17
1.696921,11.41
3.386921,9.71
4.276921,7.29
6.526921,5.37
6.986921,2.62
6.756921,-0.3
1.466921,-2.29
-4.833078,-2.26
-1.693079,-3.68
0.5469214,-0.8
-1.073079,3.42
-3.403079,2.16
1.796921,8.29
1.446921,7.41
1.606921,7.18
2.306921,6.3
1.896921,6.53
1.916921,8.72
2.896921,10.19
4.026921,10.29
4.256921,8.32
4.006921,6.46
3.126921,5.65
2.426921,4.5
2.926921,3.37
2.756921,2.06
1.856921,1.04
0.3469214,0.63
-0.8930786,1
-3.043079,2.1
-4.463078,1.66
-3.813079,0.67
-7.193079,2.12
-11.29308,4.03
-7.103078,6.08
-2.823079,7.1
-4.923079,6.84
-4.533079,8.21
-3.113079,8.08
-2.593079,8.58
-0.5330786,9.98
-0.4230786,9.639999
-0.2330786,8.87
1.426921,8.01
0.6269214,9.59
-1.283079,11.21
0.6669214,11.91
2.136921,12.54
2.066921,12.67
3.776921,11.97
5.636921,11.15
7.046921,9.66
6.316921,7.24
5.296921,6.03
0.7469214,4.34
-3.673079,0.7
-0.4030786,-1.36
0.9869214,-2.1
0.4069214,0.74
-2.093079,1.74
1.236921,6.4
2.176921,5.33
1.946921,5.22
0.8469214,5.55
-0.023078613,5.01
0.056921385,4.29
1.436921,4.96
3.606921,6.51
3.956921,6.06
3.636921,5.17
4.126921,5.5
4.656921,5.58
5.186921,5.26
4.296921,4.44
3.236921,3.14
1.446921,1.29
-1.773079,-0.57
-3.233078,-0.93
-3.273078,0.15
-3.483078,0.47
-4.283079,-2.05
-8.093079,-3.22
-9.163078,1.86
-4.303079,6.81
-3.623079,6.6
-4.703078,6.73
-2.903079,7.16
-1.853079,7.02
-1.083079,6.75
-0.6730786,7.2
-1.233079,8.889999
-2.773078,9.469999
-3.183079,11.27
-0.9030786,11.55
1.786921,10.43
1.146921,12.78
-0.5230786,15.3
0.2269214,15.4
3.106921,15.5
5.926921,16.11
6.486921,15.19
6.956921,12.54
5.606921,8.889999
3.386921,4.15
4.316921,-1.36
2.856921,-1.58
0.5169214,0.26
-1.403079,1.03
1.816921,6.19
2.536921,6.1
1.976921,5.74
1.136921,6.3
0.4569214,6.73
-0.043078613,6.21
0.7269214,4.56
2.346921,3.79
3.106921,4.56
2.836921,4.64
2.626921,5.03
4.176921,6.52
6.746921,7.66
6.146921,7.57
3.326921,5.41
2.386921,2.89
1.876921,1.73
-0.4430786,0.17
-3.033078,-0.82
-5.053079,-0.55
-4.763079,-1.63
-5.443079,-2.68
-9.443078,-1.11
-9.323078,1.68
-6.013079,3.78
-4.313078,5.43
-3.843079,6.45
-3.363079,8.88
-1.653079,11.17
-0.6930786,10.59
-2.233078,10.11
-4.593079,10.17
-3.863079,11.06
-1.463079,11.63
-0.9030786,11.66
-1.163079,14.24
-1.883079,16.95
-1.213079,18.4
2.036921,19.54
6.036921,19.98
8.636921,18.48
9.836921,14.84
9.996922,11.33
9.446921,7.7
8.036922,3.03
4.056921,0.33
-1.333079,0.02
-2.743078,-0.19
1.286921,7.47
1.816921,7.57
1.736921,7.94
1.066921,8.08
0.7069214,7.86
0.7469214,8.61
1.466921,7.54
3.056921,6.34
3.976921,7.75
2.506921,6.97
1.416921,5.02
3.156921,5.39
5.446921,6.83
6.526921,8.33
4.496921,7.38
2.626921,4.57
4.366921,2.64
3.166921,1.22
-0.7930786,0.65
-3.323079,0.48
-4.783079,-0.22
-4.083078,-1.55
-5.003078,-4.28
-10.13308,-6.58
-12.41308,-4.85
-10.34308,0.36
