U,V
-4.88,-1.29
-5.82,-0.56
-5.94,0.46
-5.35,0.57
-5.11,-0.67
-4.91,-1.33
-3.96,-0.88
-2.72,-1.15
-2.45,-1.69
-2.93,-2.02
-3.56,-2.35
-4.29,-2.45
-5.18,-2.07
-5.87,-1.1
-6.41,-0.27
-6.9,0.049999997
-7.19,0.27
-6.8,0.2
-6.47,-0.089999996
-6.34,-0.47
-6.12,-0.5
-5.59,0.13
-5.16,1.02
-5.51,1.94
-6.58,2.59
-8.49,2.45
-10.36,1.8
-11.7,1.11
-12.86,0.51
-13.46,0.32
-14.32,0.58
-14.42,0.83
-13.11,1.15
-11.78,0.96
-11.68,0.62
-12.84,1.19
-14.18,2.02
-12.63,1.59
-9.74,1.06
-9.27,1.17
-9.559999,1.86
-10.85,1.92
-11.8,1.36
-10.88,0.02
-8.849999,-0.42
-8.63,0.46
-8.66,0.86
-8.12,-0.71
-5.89,0.049999997
-6.77,0.39
-6.8,0.89
-5.94,0.77
-5.35,-0.71
-4.95,-1.88
-3.88,-1.72
-2.99,-1.38
-3.12,-1.55
-3.38,-2.12
-3.4,-2.47
-3.89,-2.25
-4.69,-1.51
-5.35,-0.66
-5.79,-0.26
-6.2,-0.2
-6.7,0.089999996
-6.77,0.099999994
-6.33,-0.24
-6.01,-0.38
-5.75,0.02
-5.43,0.7
-5.57,1.44
-6.27,2.5
-7.22,3.5
-8.84,4.06
-10.6,3.7
-11.86,2.41
-12.67,0.96
-12.67,0.35
-13.28,0.43
-13.4,0.72
-12.3,0.81
-12.19,0.79
-12.76,1.21
-12.71,1.85
-12.16,2
-9.96,1.38
-8.69,1.23
-9.8,1.53
-10.73,1.55
-11.57,1.29
-11.38,0.55
-11.55,-0.94
-11.72,-2.19
-10.7,-1.94
-8.76,-0.5
-7.39,-1.21
-5.98,0.83
-6.71,0.77
-6.73,0.72
-6.08,0.27
-5.57,-1.4
-4.62,-3.01
-3.13,-2.79
-2.67,-1.7
-2.88,-1.63
-2.44,-2.3
-2.31,-2.31
-3.21,-1.38
-3.94,-0.43
-4.42,0.02
-4.8,-0.02
-4.76,-0.029999999
-5.12,0.14
-5.98,-0.11
-6.29,-0.62
-6.34,-0.54
-6.52,0.039999999
-6.53,0.72
-6.59,1.95
-6.94,3.53
-7.29,4.73
-8.52,5.94
-10.19,6.18
-10.78,4.32
-10.47,1.76
-9.929999,0.23
-10.33,0.19
-10.7,1.18
-10.45,1.73
-11.62,1.51
-12.3,0.77
-10.2,0.61
-8.96,0.97
-9.639999,0.87
-10.62,0.88
-11.12,1.04
-11.29,0.76
-11.29,0.33
-10.3,-0.4
-9.83,-1.41
-10.25,-2.75
-9.55,-3.48
-8.04,-2.38
-7.16,-1.91
-5.79,1.51
-5.52,1.18
-5.02,0.73
-4.65,-0.17
-4.18,-2.11
-3.04,-3.51
-1.54,-2.88
-0.77,-1.99
-0.35,-2.05
-0.27,-1.82
-1.26,-0.82
-2.68,0.07
-3.3,0.33
-3.9,0.39
-4.7,0.59
-4.26,0.98
-3.87,1.11
-4.66,0.35
-5.42,-0.6
-5.66,-0.72
-5.95,-0.33
-5.94,0.82
-6.04,3.26
-6.78,4.95
-7.15,5.49
-8.11,5.71
-10.01,4.95
-10.45,3.79
-9.679999,1.91
-9.55,-0.01
-9.37,0.43
-9.21,1.75
-9.42,2.27
-10.24,2.62
-9.27,1.63
-6.37,0.73
-6.09,0.78
-8.929999,0.4
-10.45,0.2
-10.28,0.17
-10.24,-0.17
-10.04,-0.58
-9.23,-1.33
-8.16,-1.92
-7.64,-2.53
-7.28,-3.28
-6.82,-3.57
-6.48,-3.36
-5.17,1.72
-3.81,0.9
-3.03,-0.079999998
-2.24,-1.34
-0.9,-2.83
0.27,-2.84
1.06,-1.63
1.5,-1.33
1.51,-1.05
0.65,0.5
-0.76,2
-1.94,2.19
-2.71,1.68
-3.79,0.94
-4.94,0.41
-4.49,0.61
-3.5,1.2
-3.19,0.9
-3.4,0.089999996
-3.52,-0.059999999
-3.92,0.23
-4.31,1.76
-5.19,4.6
-6.58,5.55
-7.12,5.73
-6.68,3.95
-8.4,3.16
-9.099999,4.42
-9.11,3.77
-9.92,2.03
-9.5,2.24
-8.91,2.11
-9.11,2.26
-7.93,3.32
-5.68,2.51
-4.36,0.88
-5.33,0.6
-8.25,0.69
-9.02,0.78
-8.21,0.089999996
-8.059999,-0.92
-8.46,-1.67
-7.84,-2.53
-6.62,-2.95
-6.04,-3.01
-5.98,-3.84
-5.55,-4.79
-4.61,-4.84
-3.52,0.76
-1.97,-0.58
-0.78,-1.71
1.38,-2.17
3.24,-2.05
3.52,-1.16
3.07,-0.52
3.04,-0.51
3.07,0.82
2.69,3.16
2.22,4.32
1.42,4.04
0.19,3.6
-1.64,2.5
-3.11,1.13
-3.07,0.64
-2.35,1.16
-1.73,1.16
-1.56,0.69
-1.75,0.7
-2.31,1.02
-3.02,2.27
-4.07,4.25
-5.17,4.83
-5.57,5.73
-5.52,4.19
-6.69,3.93
-8.12,5.24
-7.83,4.15
-8.23,3.54
-7.73,3.59
-6.86,2.24
-6.83,2.16
-5.24,2.69
-4.49,1.76
-5.29,-0.049999997
-5.16,-0.46
-4.86,0.5
-4.82,1.77
-4.96,0.94
-5.27,-1.4
-6,-3.17
-6.35,-4.11
-6.07,-4.49
-5.36,-4.24
-4.71,-4.25
-3.81,-4.73
-2.83,-4.99
-1.62,-1.04
0.2,-2.63
2.68,-2.72
5.03,-1.4
5.51,-0.64
4.37,-0.76
2.63,-1.02
1.58,-0.14
1.27,2.04
1.49,3.77
1.88,4.16
1.95,4.08
1.9,4.48
1.08,4.34
0.33,3.12
0.68,1.76
1.13,1.5
0.12,2
-1.65,2.1
