X,Y
0,0
-1.5,0
-3,0
-4.5,0
-6,0
-7.5,0
-9,0
-10.5,0
-12,0
-13.5,0
-15,0
-16.5,0
-18,0
-19.5,0
-21,0
-22.5,0
-24,0
-25.5,0
-27,0
-28.5,0
-30,0
-31.5,0
-33,0
-34.5,0
-36,0
-37.5,0
-39,0
-40.5,0
-42,0
-43.5,0
-45,0
-46.5,0
-48,0
-49.5,0
-51,0
-52.5,0
-54,0
-55.5,0
-57,0
-58.5,0
-60,0
-61.5,0
-63,0
-64.5,0
-66,0
-67.5,0
-69,0
-70.5,0
0,-1.5
-1.5,-1.5
-3,-1.5
-4.5,-1.5
-6,-1.5
-7.5,-1.5
-9,-1.5
-10.5,-1.5
-12,-1.5
-13.5,-1.5
-15,-1.5
-16.5,-1.5
-18,-1.5
-19.5,-1.5
-21,-1.5
-22.5,-1.5
-24,-1.5
-25.5,-1.5
-27,-1.5
-28.5,-1.5
-30,-1.5
-31.5,-1.5
-33,-1.5
-34.5,-1.5
-36,-1.5
-37.5,-1.5
-39,-1.5
-40.5,-1.5
-42,-1.5
-43.5,-1.5
-45,-1.5
-46.5,-1.5
-48,-1.5
-49.5,-1.5
-51,-1.5
-52.5,-1.5
-54,-1.5
-55.5,-1.5
-57,-1.5
-58.5,-1.5
-60,-1.5
-61.5,-1.5
-63,-1.5
-64.5,-1.5
-66,-1.5
-67.5,-1.5
-69,-1.5
-70.5,-1.5
0,-3
-1.5,-3
-3,-3
-4.5,-3
-6,-3
-7.5,-3
-9,-3
-10.5,-3
-12,-3
-13.5,-3
-15,-3
-16.5,-3
-18,-3
-19.5,-3
-21,-3
-22.5,-3
-24,-3
-25.5,-3
-27,-3
-28.5,-3
-30,-3
-31.5,-3
-33,-3
-34.5,-3
-36,-3
-37.5,-3
-39,-3
-40.5,-3
-42,-3
-43.5,-3
-45,-3
-46.5,-3
-48,-3
-49.5,-3
-51,-3
-52.5,-3
-54,-3
-55.5,-3
-57,-3
-58.5,-3
-60,-3
-61.5,-3
-63,-3
-64.5,-3
-66,-3
-67.5,-3
-69,-3
-70.5,-3
0,-4.5
-1.5,-4.5
-3,-4.5
-4.5,-4.5
-6,-4.5
-7.5,-4.5
-9,-4.5
-10.5,-4.5
-12,-4.5
-13.5,-4.5
-15,-4.5
-16.5,-4.5
-18,-4.5
-19.5,-4.5
-21,-4.5
-22.5,-4.5
-24,-4.5
-25.5,-4.5
-27,-4.5
-28.5,-4.5
-30,-4.5
-31.5,-4.5
-33,-4.5
-34.5,-4.5
-36,-4.5
-37.5,-4.5
-39,-4.5
-40.5,-4.5
-42,-4.5
-43.5,-4.5
-45,-4.5
-46.5,-4.5
-48,-4.5
-49.5,-4.5
-51,-4.5
-52.5,-4.5
-54,-4.5
-55.5,-4.5
-57,-4.5
-58.5,-4.5
-60,-4.5
-61.5,-4.5
-63,-4.5
-64.5,-4.5
-66,-4.5
-67.5,-4.5
-69,-4.5
-70.5,-4.5
0,-6
-1.5,-6
-3,-6
