U,V
-5.071218,-1.661973
-5.651218,-0.8819726
-5.761218,0.2280273
-5.381218,0.8180273
-4.921218,-0.5619726
-4.641218,-1.471973
-4.041218,-0.6719726
-3.541218,-0.1219727
-3.231218,0.008027344
-3.991218,-0.7019727
-4.201218,-1.181973
-4.681218,-0.4919727
-5.411218,0.4580273
-6.151218,1.508027
-6.801218,1.918027
-7.061218,1.418027
-7.071218,0.7880273
-5.541218,0.1080273
-4.201218,-1.201973
-4.111218,-1.891973
-3.471218,-2.261973
-2.691218,-1.791973
-3.141218,-0.3219726
-3.891218,0.8780273
-5.001218,2.698027
-6.931218,2.938027
-9.021218,2.128027
-10.77122,1.298027
-11.40122,0.6380273
-11.26122,0.1880273
-11.93122,0.058027342
-13.64122,-0.021972656
-13.40122,0.2980273
-11.34122,0.4480273
-11.17122,0.3180273
-12.61122,1.608027
-13.28122,3.278027
-11.66122,3.628027
-9.971218,1.078027
-9.551218,-0.6419727
-10.03122,0.6980273
-11.69122,1.958027
-12.29122,1.918027
-11.50122,0.5080273
-9.991218,-0.7119727
-10.30122,-0.4019727
-9.571218,0.3080273
-8.641218,-0.3619727
-5.731218,-0.6519727
-6.531218,-0.1919727
-6.711218,0.078027345
-5.401218,0.5980273
-4.941218,-0.7419726
-4.821218,-1.901973
-4.401218,-1.311973
-3.861218,-0.1319727
-4.431218,-0.2619726
-4.711218,-1.191973
-4.421218,-1.271973
-4.741218,-0.1919727
-5.491218,1.038027
-6.051218,1.568027
-6.401218,1.558027
-6.401218,1.448027
-6.631218,1.338027
-5.901218,0.8080273
-3.681218,-0.5719727
-2.031218,-1.091973
-1.541218,-0.5019726
-2.641218,0.8380273
-4.141218,1.808027
-5.471218,3.168027
-6.831218,4.038027
-7.951218,3.928027
-9.611218,3.338027
-10.99122,1.838027
-11.80122,0.4180273
-11.96122,-0.5419726
-11.98122,-0.4319727
-12.92122,0.1380273
-12.38122,0.9880273
-11.75122,1.218027
-12.37122,2.448027
-12.27122,3.628027
-11.38122,3.248027
-10.36122,1.828027
-10.49122,0.078027345
-10.19122,0.9380273
-9.931218,2.118027
-11.35122,2.238027
-11.48122,1.588027
-11.41122,0.4980273
-11.80122,-0.3719727
