Y,X,VY,VX
-60,45,2.64001,-7.456213
-58.5,45,12.70001,-11.98621
-57,45,12.10001,-16.85621
-55.5,45,10.11001,-22.48621
-54,45,7.120015,-34.36621
-52.5,45,5.940014,-38.37621
-51,45,12.28001,-14.68621
-49.5,45,27.32001,23.54379
-48,45,34.98001,36.81379
-46.5,45,27.25001,28.95379
-45,45,18.64001,29.32379
-43.5,45,16.58002,36.56379
-42,45,17.88001,39.04379
-40.5,45,18.87001,34.78379
-39,45,18.82001,28.46379
-37.5,45,17.65001,24.23379
-36,45,16.19001,22.25379
-34.5,45,16.18001,19.88379
-33,45,16.44001,16.78379
-31.5,45,15.64001,13.80379
-30,45,15.21001,11.23379
-28.5,45,15.13001,9.003786
-27,45,13.96001,7.663786
-25.5,45,12.98001,7.173787
-24,45,13.31001,5.303786
-22.5,45,14.02001,1.893787
-21,45,14.26001,-0.0262
-19.5,45,14.42001,-0.3762134
-18,45,14.90001,-0.5362133
-16.5,45,14.85001,0.3837866
-15,45,13.90001,0.8837866
-13.5,45,12.91001,0.4537866
-12,45,12.26001,1.473787
-10.5,45,11.47001,2.443787
-9,45,10.72001,1.783787
-7.5,45,9.800014,0.2737866
-6,45,8.630014,-0.5662134
-4.5,45,8.600015,-0.4862134
-3,45,9.210014,-0.7262133
-1.5,45,9.070014,-2.556213
0,45,7.980014,-5.216213
-60,43.5,10.29001,-9.886213
-58.5,43.5,10.69001,-13.47621
-57,43.5,10.77001,-16.66621
-55.5,43.5,10.75001,-21.22621
-54,43.5,13.40001,-29.12621
-52.5,43.5,22.66001,-27.37621
-51,43.5,34.74001,-2.746213
-49.5,43.5,37.77001,23.67379
-48,43.5,31.48001,25.26379
-46.5,43.5,26.11001,22.02379
-45,43.5,23.05001,32.49379
-43.5,43.5,19.36001,39.17379
-42,43.5,16.56001,34.04379
-40.5,43.5,14.76001,26.11379
-39,43.5,12.80001,22.04379
-37.5,43.5,10.24001,22.63379
-36,43.5,7.980014,23.26379
-34.5,43.5,8.180015,21.35379
-33,43.5,9.480015,18.22379
-31.5,43.5,10.14001,14.26379
-30,43.5,10.61001,10.57379
-28.5,43.5,10.72001,8.133786
-27,43.5,10.36001,6.253787
-25.5,43.5,10.23001,5.813787
-24,43.5,9.890015,6.253787
-22.5,43.5,8.660014,4.933786
-21,43.5,7.500014,2.633787
-19.5,43.5,7.630014,1.583787
-18,43.5,8.810015,1.293787
-16.5,43.5,9.290014,0.8737866
-15,43.5,8.090014,-0.1162134
-13.5,43.5,7.160015,-1.346213
-12,43.5,7.030015,-1.786213
-10.5,43.5,6.870015,-2.366213
-9,43.5,6.370015,-3.116213
-7.5,43.5,5.700015,-1.406213
-6,43.5,5.080015,-1.626213
-4.5,43.5,5.270015,-2.456213
-3,43.5,5.910015,-4.956213
-1.5,43.5,4.540015,-6.286213
0,43.5,3.610015,-3.616213
-60,42,7.570014,-13.94621
-58.5,42,10.24001,-14.88621
-57,42,14.56001,-15.44621
-55.5,42,19.13001,-15.97621
-54,42,24.24002,-16.88621
-52.5,42,32.00002,-13.46621
-51,42,37.95001,0.8737866
-49.5,42,34.95001,13.00379
-48,42,30.17001,13.51379
-46.5,42,27.67001,20.74379
-45,42,22.28001,34.55379
-43.5,42,17.57001,35.15379
-42,42,18.17001,27.33379
-40.5,42,19.59001,21.38379
-39,42,18.50001,19.19379
-37.5,42,14.96001,19.35379
-36,42,10.34001,19.09379
-34.5,42,7.050014,18.62379
-33,42,5.260015,17.93379
-31.5,42,4.460014,14.47379
-30,42,3.870015,10.09379
-28.5,42,3.060014,7.483787
-27,42,2.730015,5.413786
-25.5,42,3.150015,4.103786
-24,42,3.160015,4.473786
-22.5,42,2.950015,3.953787
-21,42,3.640015,1.743787
-19.5,42,4.430015,0.7837866
-18,42,4.180015,0.7637866
-16.5,42,3.990015,-0.8062134
-15,42,4.460014,-2.936213
-13.5,42,5.260015,-4.226213
-12,42,5.400014,-5.216213
-10.5,42,4.730014,-5.736213
-9,42,2.550014,-4.826213
-7.5,42,-0.3799853,-3.866213
-6,42,-1.059985,-4.906213
-4.5,42,-1.159985,-3.886213
-3,42,0.4000146,-3.916213
-1.5,42,2.130015,-6.136213
0,42,2.320015,-3.896213
-60,40.5,10.75001,-13.89621
-58.5,40.5,13.40001,-13.39621
-57,40.5,17.52001,-13.27621
-55.5,40.5,21.99002,-13.15621
-54,40.5,25.23001,-13.04621
-52.5,40.5,28.26001,-9.896214
-51,40.5,29.39001,-1.386213
-49.5,40.5,28.40001,4.033786
-48,40.5,28.20001,9.143786
-46.5,40.5,25.97001,23.81379
-45,40.5,21.44001,33.45378
-43.5,40.5,19.44001,28.25379
-42,40.5,18.83001,21.14379
-40.5,40.5,16.54001,16.80379
-39,40.5,14.02001,15.05379
-37.5,40.5,11.29001,14.97379
-36,40.5,8.260015,14.85379
-34.5,40.5,6.030015,15.66379
-33,40.5,3.420015,15.36379
-31.5,40.5,1.130015,12.26379
-30,40.5,-0.2099853,8.613787
-28.5,40.5,-1.519985,5.843787
-27,40.5,-2.349985,4.163786
-25.5,40.5,-1.999985,3.343786
-24,40.5,-1.249985,3.573786
-22.5,40.5,-0.7699853,4.103786
-21,40.5,-0.4299853,3.003787
-19.5,40.5,0.050014649,1.383787
-18,40.5,0.3600146,0.3637866
-16.5,40.5,0.9000146,-1.626213
-15,40.5,0.9700146,-3.926213
-13.5,40.5,-0.029985351,-5.316213
-12,40.5,-0.3999853,-6.536213
-10.5,40.5,-0.1699854,-6.706213
-9,40.5,-0.3799853,-5.826213
-7.5,40.5,-1.249985,-5.266213
-6,40.5,-1.499985,-6.066213
-4.5,40.5,-1.629985,-3.936213
-3,40.5,-2.299985,-2.196213
-1.5,40.5,-0.2399853,-4.706213
0,40.5,1.960015,-3.586213
-60,39,9.220015,-10.81621
-58.5,39,12.22001,-11.39621
-57,39,16.18001,-11.84621
-55.5,39,19.01001,-13.02621
-54,39,20.32001,-14.17621
-52.5,39,22.22001,-9.816214
-51,39,23.59001,-2.486213
-49.5,39,25.16001,2.353786
-48,39,26.18001,12.70379
-46.5,39,23.76001,25.65379
-45,39,20.69001,26.57379
-43.5,39,17.99002,21.01379
-42,39,14.32001,17.64379
-40.5,39,10.66001,14.76379
-39,39,8.890015,14.06379
-37.5,39,7.070014,12.64379
-36,39,4.880014,11.21379
-34.5,39,3.870015,12.00379
-33,39,1.900015,10.92379
-31.5,39,-0.029985351,9.033787
-30,39,-0.6199853,7.333786
-28.5,39,-1.519985,4.393786
-27,39,-2.359985,2.843786
-25.5,39,-3.339985,2.733787
-24,39,-4.509985,3.283787
-22.5,39,-5.059985,4.463787
-21,39,-5.659985,3.783787
-19.5,39,-5.889985,2.533787
-18,39,-5.939985,1.723787
-16.5,39,-6.849985,-1.436213
-15,39,-7.919985,-4.666214
-13.5,39,-7.249985,-5.076213
-12,39,-4.349985,-4.586213
-10.5,39,-1.569985,-4.746213
-9,39,-1.049985,-5.506213
-7.5,39,-1.099985,-6.656213
-6,39,-1.269985,-6.646213
-4.5,39,-1.369985,-3.946213
-3,39,-2.099985,-2.406213
-1.5,39,-2.429985,-1.476213
0,39,-0.089985348,-0.9462134
-60,37.5,9.340014,-10.17621
-58.5,37.5,11.25001,-11.75621
-57,37.5,13.94001,-13.05621
-55.5,37.5,16.54001,-14.90621
-54,37.5,19.23001,-14.01621
-52.5,37.5,20.92001,-7.276213
-51,37.5,21.33001,-0.5562134
-49.5,37.5,22.73001,5.853786
-48,37.5,23.15001,15.61379
-46.5,37.5,20.41002,20.25379
-45,37.5,17.09001,18.42379
-43.5,37.5,13.70001,16.01379
-42,37.5,9.390015,12.79379
-40.5,37.5,5.470015,12.40379
-39,37.5,4.570014,14.09379
-37.5,37.5,4.100015,12.03379
-36,37.5,1.620015,10.76379
-34.5,37.5,-0.1899853,10.41379
-33,37.5,-1.789985,7.973786
-31.5,37.5,-4.119985,6.863787
-30,37.5,-6.559985,5.453786
-28.5,37.5,-8.479985,2.703787
-27,37.5,-8.619986,1.953787
-25.5,37.5,-7.739985,2.173787
-24,37.5,-7.439985,3.223787
-22.5,37.5,-7.669985,4.913786
-21,37.5,-8.289985,3.633786
-19.5,37.5,-8.659986,1.283787
