VX,VY
2.64001,-7.456213
12.70001,-11.98621
12.10001,-16.85621
10.11001,-22.48621
7.120015,-34.36621
5.940014,-38.37621
12.28001,-14.68621
27.32001,23.54379
34.98001,36.81379
27.25001,28.95379
18.64001,29.32379
16.58002,36.56379
17.88001,39.04379
18.87001,34.78379
18.82001,28.46379
17.65001,24.23379
16.19001,22.25379
16.18001,19.88379
16.44001,16.78379
15.64001,13.80379
15.21001,11.23379
15.13001,9.003786
13.96001,7.663786
12.98001,7.173787
13.31001,5.303786
14.02001,1.893787
14.26001,-0.0262
14.42001,-0.3762134
14.90001,-0.5362133
14.85001,0.3837866
13.90001,0.8837866
12.91001,0.4537866
12.26001,1.473787
11.47001,2.443787
10.72001,1.783787
9.800014,0.2737866
8.630014,-0.5662134
8.600015,-0.4862134
9.210014,-0.7262133
9.070014,-2.556213
7.980014,-5.216213
10.29001,-9.886213
10.69001,-13.47621
10.77001,-16.66621
10.75001,-21.22621
13.40001,-29.12621
22.66001,-27.37621
34.74001,-2.746213
37.77001,23.67379
31.48001,25.26379
26.11001,22.02379
23.05001,32.49379
19.36001,39.17379
16.56001,34.04379
14.76001,26.11379
12.80001,22.04379
10.24001,22.63379
7.980014,23.26379
8.180015,21.35379
9.480015,18.22379
10.14001,14.26379
10.61001,10.57379
10.72001,8.133786
10.36001,6.253787
10.23001,5.813787
9.890015,6.253787
8.660014,4.933786
7.500014,2.633787
7.630014,1.583787
8.810015,1.293787
9.290014,0.8737866
8.090014,-0.1162134
7.160015,-1.346213
7.030015,-1.786213
6.870015,-2.366213
6.370015,-3.116213
5.700015,-1.406213
5.080015,-1.626213
5.270015,-2.456213
5.910015,-4.956213
4.540015,-6.286213
3.610015,-3.616213
7.570014,-13.94621
10.24001,-14.88621
14.56001,-15.44621
19.13001,-15.97621
24.24002,-16.88621
32.00002,-13.46621
37.95001,0.8737866
34.95001,13.00379
30.17001,13.51379
27.67001,20.74379
22.28001,34.55379
17.57001,35.15379
18.17001,27.33379
19.59001,21.38379
18.50001,19.19379
14.96001,19.35379
10.34001,19.09379
7.050014,18.62379
5.260015,17.93379
4.460014,14.47379
3.870015,10.09379
3.060014,7.483787
2.730015,5.413786
3.150015,4.103786
3.160015,4.473786
2.950015,3.953787
3.640015,1.743787
4.430015,0.7837866
4.180015,0.7637866
3.990015,-0.8062134
4.460014,-2.936213
5.260015,-4.226213
5.400014,-5.216213
4.730014,-5.736213
2.550014,-4.826213
-0.3799853,-3.866213
-1.059985,-4.906213
-1.159985,-3.886213
0.4000146,-3.916213
2.130015,-6.136213
2.320015,-3.896213
10.75001,-13.89621
13.40001,-13.39621
17.52001,-13.27621
21.99002,-13.15621
25.23001,-13.04621
28.26001,-9.896214
29.39001,-1.386213
28.40001,4.033786
28.20001,9.143786
25.97001,23.81379
21.44001,33.45378
19.44001,28.25379
18.83001,21.14379
16.54001,16.80379
14.02001,15.05379
11.29001,14.97379
8.260015,14.85379
6.030015,15.66379
3.420015,15.36379
1.130015,12.26379
-0.2099853,8.613787
-1.519985,5.843787
-2.349985,4.163786
-1.999985,3.343786
-1.249985,3.573786
-0.7699853,4.103786
-0.4299853,3.003787
0.050014649,1.383787
0.3600146,0.3637866
0.9000146,-1.626213
0.9700146,-3.926213
-0.029985351,-5.316213
-0.3999853,-6.536213
-0.1699854,-6.706213
-0.3799853,-5.826213
-1.249985,-5.266213
-1.499985,-6.066213
-1.629985,-3.936213
-2.299985,-2.196213
-0.2399853,-4.706213
1.960015,-3.586213
9.220015,-10.81621
12.22001,-11.39621
16.18001,-11.84621
19.01001,-13.02621
20.32001,-14.17621
22.22001,-9.816214
23.59001,-2.486213
25.16001,2.353786
26.18001,12.70379
23.76001,25.65379
20.69001,26.57379
17.99002,21.01379
14.32001,17.64379
10.66001,14.76379
8.890015,14.06379
7.070014,12.64379
4.880014,11.21379
3.870015,12.00379
1.900015,10.92379
-0.029985351,9.033787
-0.6199853,7.333786
-1.519985,4.393786
-2.359985,2.843786
-3.339985,2.733787
-4.509985,3.283787
-5.059985,4.463787
-5.659985,3.783787
-5.889985,2.533787
-5.939985,1.723787
-6.849985,-1.436213
-7.919985,-4.666214
-7.249985,-5.076213
-4.349985,-4.586213
-1.569985,-4.746213
-1.049985,-5.506213
-1.099985,-6.656213
-1.269985,-6.646213
-1.369985,-3.946213
-2.099985,-2.406213
-2.429985,-1.476213
-0.089985348,-0.9462134
9.340014,-10.17621
11.25001,-11.75621
13.94001,-13.05621
16.54001,-14.90621
19.23001,-14.01621
20.92001,-7.276213
21.33001,-0.5562134
22.73001,5.853786
23.15001,15.61379
20.41002,20.25379
17.09001,18.42379
13.70001,16.01379
9.390015,12.79379
5.470015,12.40379
4.570014,14.09379
4.100015,12.03379
1.620015,10.76379
-0.1899853,10.41379
-1.789985,7.973786
-4.119985,6.863787
-6.559985,5.453786
-8.479985,2.703787
-8.619986,1.953787
-7.739985,2.173787
-7.439985,3.223787
-7.669985,4.913786
-8.289985,3.633786
-8.659986,1.283787
-8.849985,-0.1462134
-9.239985,-2.506213
-8.409986,-3.866213
-6.279985,-3.276213
-5.269985,-3.186213
-5.239985,-4.636213
-5.079985,-5.926213
-4.529985,-5.286213
-3.799985,-4.046213
-2.639985,-3.306213
-1.069985,-2.826213
-1.139985,-1.646213
-1.029985,0.00379
