VX,VY
-13.187979,-2.653523
-11.961982,-0.163627
-11.372554,0.693241
-11.713946,1.850695
-11.652654,2.605386
-10.986564,3.669529
-10.024714,4.357696
-9.453360,5.239133
-9.141719,5.984317
-8.292764,5.545741
-8.183352,5.789941
-8.253026,5.909549
-8.774954,5.922804
-10.021523,6.364658
-12.037453,7.327188
-12.614465,6.983962
-12.175406,5.797245
-12.323699,4.676885
-12.902992,3.291235
-13.395248,2.253532
-13.148871,1.772303
-12.960403,2.245604
-12.979721,1.661382
-13.991569,1.582359
-15.479889,-0.590926
-17.205093,-3.131792
-18.252956,-4.996422
-18.550503,-5.871933
-19.437851,-5.265336
-19.287098,-3.468789
-18.491041,-0.706641
-17.977518,2.045818
-17.031172,4.853796
-16.256908,7.832297
-15.037335,10.578292
-12.616062,12.114988
-11.179884,12.325408
-10.123531,12.336205
-8.850812,11.627975
-7.660309,10.883104
-6.973262,10.545380
-6.529081,10.439111
-6.126310,10.444772
-5.475499,10.450737
-4.736371,10.451545
-4.294605,10.153355
-4.159801,9.012509
-4.205783,6.951005
-4.605111,4.481747
-5.008606,1.726553
-4.999757,-1.038075
-4.659654,-3.173782
-4.212353,-4.022088
-4.917198,-3.695332
-5.912111,-3.911641
-6.062517,-6.162078
-4.728491,-9.369384
-3.379724,-10.996452
-3.040376,-10.520515
-2.212366,-9.391980
-12.942078,-4.275282
-12.355950,-1.542880
-11.421828,0.565874
-11.007179,1.388396
-11.333221,1.922656
-11.306162,3.055463
-10.682387,4.340038
-10.240134,5.361334
-9.819704,5.864207
-8.984984,5.559251
-8.775641,5.974570
-9.388281,6.956329
-10.203729,7.307363
-10.828088,7.277327
-12.038211,7.823734
-12.283092,7.350871
-11.746128,5.870796
-11.904019,4.465742
-12.546458,3.019732
-13.025961,1.727448
-13.032788,1.328838
-12.870321,2.258798
-12.013641,2.435285
-12.121281,3.167465
-13.460602,1.763505
-15.394581,-0.155605
-17.181028,-2.128645
-17.999075,-4.045421
-19.241253,-4.605147
-19.731657,-3.822763
-19.241842,-1.810179
-18.770037,0.776348
-17.659182,3.363847
-16.792637,6.028582
-15.393339,8.559132
-12.867798,10.146873
-11.646527,10.607508
-10.370532,10.976220
-8.724504,10.497619
-7.815595,10.385561
-6.906180,10.089802
-6.168326,9.965414
-5.509834,9.935495
-4.713730,9.894313
-3.826221,9.819422
-3.120567,9.500163
-2.808536,8.569087
-2.575418,6.745724
-2.584814,4.253033
-2.859056,1.469645
-2.985260,-1.293136
-2.939240,-3.469781
-3.048687,-4.232511
-4.113081,-3.482255
-4.925930,-3.821736
-5.190240,-6.048521
-3.912810,-9.461158
-2.662871,-11.501536
-2.298149,-11.489542
-1.476135,-10.750416
-12.340484,-4.978773
-12.546208,-3.344990
-11.927466,-0.190008
-10.835573,1.057092
-10.706168,1.386983
-11.284214,1.515067
-11.518930,3.568403
-11.518967,5.445816
-10.833693,5.391240
-10.101621,5.519594
-9.812015,6.082634
-10.338265,7.143476
-11.123165,8.042822
-11.542961,8.194318
-11.969261,8.273418
-11.749907,7.442641
-11.222109,5.706562
-11.615779,4.305689
-12.491634,3.030820
-12.975592,1.532694
-13.129650,0.653069
-13.084314,1.186789
-11.868761,2.253219
-10.976061,3.449233
-11.448872,3.002903
-12.515483,2.574855
-14.855480,1.596475
-16.653257,-0.980349
-18.316505,-2.236088
-19.262856,-2.610733
-19.273170,-1.988274
-19.187628,-0.153419
-17.944914,1.876510
-17.036493,4.434422
-16.113607,7.135699
